n,s,t,ex(n;Kst),count,last_ops,structures
1,1,1,0,1,vertex,1
1,1,2,0,1,vertex,1
1,1,3,0,1,vertex,1
1,1,4,0,1,vertex,1
1,1,5,0,1,vertex,1
1,1,6,0,1,vertex,1
1,1,7,0,1,vertex,1
1,1,8,0,1,vertex,1
1,1,9,0,1,vertex,1
1,1,10,0,1,vertex,1
1,1,11,0,1,vertex,1
1,1,12,0,1,vertex,1
1,2,2,0,1,vertex,1
1,2,3,0,1,vertex,1
1,2,4,0,1,vertex,1
1,2,5,0,1,vertex,1
1,2,6,0,1,vertex,1
1,2,7,0,1,vertex,1
1,2,8,0,1,vertex,1
1,2,9,0,1,vertex,1
1,2,10,0,1,vertex,1
1,2,11,0,1,vertex,1
1,2,12,0,1,vertex,1
1,3,3,0,1,vertex,1
1,3,4,0,1,vertex,1
1,3,5,0,1,vertex,1
1,3,6,0,1,vertex,1
1,3,7,0,1,vertex,1
1,3,8,0,1,vertex,1
1,3,9,0,1,vertex,1
1,3,10,0,1,vertex,1
1,3,11,0,1,vertex,1
1,3,12,0,1,vertex,1
1,4,4,0,1,vertex,1
1,4,5,0,1,vertex,1
1,4,6,0,1,vertex,1
1,4,7,0,1,vertex,1
1,4,8,0,1,vertex,1
1,4,9,0,1,vertex,1
1,4,10,0,1,vertex,1
1,4,11,0,1,vertex,1
1,4,12,0,1,vertex,1
1,5,5,0,1,vertex,1
1,5,6,0,1,vertex,1
1,5,7,0,1,vertex,1
1,5,8,0,1,vertex,1
1,5,9,0,1,vertex,1
1,5,10,0,1,vertex,1
1,5,11,0,1,vertex,1
1,5,12,0,1,vertex,1
1,6,6,0,1,vertex,1
1,6,7,0,1,vertex,1
1,6,8,0,1,vertex,1
1,6,9,0,1,vertex,1
1,6,10,0,1,vertex,1
1,6,11,0,1,vertex,1
1,6,12,0,1,vertex,1
1,7,7,0,1,vertex,1
1,7,8,0,1,vertex,1
1,7,9,0,1,vertex,1
1,7,10,0,1,vertex,1
1,7,11,0,1,vertex,1
1,7,12,0,1,vertex,1
1,8,8,0,1,vertex,1
1,8,9,0,1,vertex,1
1,8,10,0,1,vertex,1
1,8,11,0,1,vertex,1
1,8,12,0,1,vertex,1
1,9,9,0,1,vertex,1
1,9,10,0,1,vertex,1
1,9,11,0,1,vertex,1
1,9,12,0,1,vertex,1
1,10,10,0,1,vertex,1
1,10,11,0,1,vertex,1
1,10,12,0,1,vertex,1
1,11,11,0,1,vertex,1
1,11,12,0,1,vertex,1
1,12,12,0,1,vertex,1
2,1,1,0,1,sum,"S(1,1)"
2,1,2,1,1,product,"P(1,1)"
2,1,3,1,1,product,"P(1,1)"
2,1,4,1,1,product,"P(1,1)"
2,1,5,1,1,product,"P(1,1)"
2,1,6,1,1,product,"P(1,1)"
2,1,7,1,1,product,"P(1,1)"
2,1,8,1,1,product,"P(1,1)"
2,1,9,1,1,product,"P(1,1)"
2,1,10,1,1,product,"P(1,1)"
2,1,11,1,1,product,"P(1,1)"
2,1,12,1,1,product,"P(1,1)"
2,2,2,1,1,product,"P(1,1)"
2,2,3,1,1,product,"P(1,1)"
2,2,4,1,1,product,"P(1,1)"
2,2,5,1,1,product,"P(1,1)"
2,2,6,1,1,product,"P(1,1)"
2,2,7,1,1,product,"P(1,1)"
2,2,8,1,1,product,"P(1,1)"
2,2,9,1,1,product,"P(1,1)"
2,2,10,1,1,product,"P(1,1)"
2,2,11,1,1,product,"P(1,1)"
2,2,12,1,1,product,"P(1,1)"
2,3,3,1,1,product,"P(1,1)"
2,3,4,1,1,product,"P(1,1)"
2,3,5,1,1,product,"P(1,1)"
2,3,6,1,1,product,"P(1,1)"
2,3,7,1,1,product,"P(1,1)"
2,3,8,1,1,product,"P(1,1)"
2,3,9,1,1,product,"P(1,1)"
2,3,10,1,1,product,"P(1,1)"
2,3,11,1,1,product,"P(1,1)"
2,3,12,1,1,product,"P(1,1)"
2,4,4,1,1,product,"P(1,1)"
2,4,5,1,1,product,"P(1,1)"
2,4,6,1,1,product,"P(1,1)"
2,4,7,1,1,product,"P(1,1)"
2,4,8,1,1,product,"P(1,1)"
2,4,9,1,1,product,"P(1,1)"
2,4,10,1,1,product,"P(1,1)"
2,4,11,1,1,product,"P(1,1)"
2,4,12,1,1,product,"P(1,1)"
2,5,5,1,1,product,"P(1,1)"
2,5,6,1,1,product,"P(1,1)"
2,5,7,1,1,product,"P(1,1)"
2,5,8,1,1,product,"P(1,1)"
2,5,9,1,1,product,"P(1,1)"
2,5,10,1,1,product,"P(1,1)"
2,5,11,1,1,product,"P(1,1)"
2,5,12,1,1,product,"P(1,1)"
2,6,6,1,1,product,"P(1,1)"
2,6,7,1,1,product,"P(1,1)"
2,6,8,1,1,product,"P(1,1)"
2,6,9,1,1,product,"P(1,1)"
2,6,10,1,1,product,"P(1,1)"
2,6,11,1,1,product,"P(1,1)"
2,6,12,1,1,product,"P(1,1)"
2,7,7,1,1,product,"P(1,1)"
2,7,8,1,1,product,"P(1,1)"
2,7,9,1,1,product,"P(1,1)"
2,7,10,1,1,product,"P(1,1)"
2,7,11,1,1,product,"P(1,1)"
2,7,12,1,1,product,"P(1,1)"
2,8,8,1,1,product,"P(1,1)"
2,8,9,1,1,product,"P(1,1)"
2,8,10,1,1,product,"P(1,1)"
2,8,11,1,1,product,"P(1,1)"
2,8,12,1,1,product,"P(1,1)"
2,9,9,1,1,product,"P(1,1)"
2,9,10,1,1,product,"P(1,1)"
2,9,11,1,1,product,"P(1,1)"
2,9,12,1,1,product,"P(1,1)"
2,10,10,1,1,product,"P(1,1)"
2,10,11,1,1,product,"P(1,1)"
2,10,12,1,1,product,"P(1,1)"
2,11,11,1,1,product,"P(1,1)"
2,11,12,1,1,product,"P(1,1)"
2,12,12,1,1,product,"P(1,1)"
3,1,1,0,1,sum,"S(1,1,1)"
3,1,2,1,1,sum,"S(1,P(1,1))"
3,1,3,3,1,product,"P(1,1,1)"
3,1,4,3,1,product,"P(1,1,1)"
3,1,5,3,1,product,"P(1,1,1)"
3,1,6,3,1,product,"P(1,1,1)"
3,1,7,3,1,product,"P(1,1,1)"
3,1,8,3,1,product,"P(1,1,1)"
3,1,9,3,1,product,"P(1,1,1)"
3,1,10,3,1,product,"P(1,1,1)"
3,1,11,3,1,product,"P(1,1,1)"
3,1,12,3,1,product,"P(1,1,1)"
3,2,2,3,1,product,"P(1,1,1)"
3,2,3,3,1,product,"P(1,1,1)"
3,2,4,3,1,product,"P(1,1,1)"
3,2,5,3,1,product,"P(1,1,1)"
3,2,6,3,1,product,"P(1,1,1)"
3,2,7,3,1,product,"P(1,1,1)"
3,2,8,3,1,product,"P(1,1,1)"
3,2,9,3,1,product,"P(1,1,1)"
3,2,10,3,1,product,"P(1,1,1)"
3,2,11,3,1,product,"P(1,1,1)"
3,2,12,3,1,product,"P(1,1,1)"
3,3,3,3,1,product,"P(1,1,1)"
3,3,4,3,1,product,"P(1,1,1)"
3,3,5,3,1,product,"P(1,1,1)"
3,3,6,3,1,product,"P(1,1,1)"
3,3,7,3,1,product,"P(1,1,1)"
3,3,8,3,1,product,"P(1,1,1)"
3,3,9,3,1,product,"P(1,1,1)"
3,3,10,3,1,product,"P(1,1,1)"
3,3,11,3,1,product,"P(1,1,1)"
3,3,12,3,1,product,"P(1,1,1)"
3,4,4,3,1,product,"P(1,1,1)"
3,4,5,3,1,product,"P(1,1,1)"
3,4,6,3,1,product,"P(1,1,1)"
3,4,7,3,1,product,"P(1,1,1)"
3,4,8,3,1,product,"P(1,1,1)"
3,4,9,3,1,product,"P(1,1,1)"
3,4,10,3,1,product,"P(1,1,1)"
3,4,11,3,1,product,"P(1,1,1)"
3,4,12,3,1,product,"P(1,1,1)"
3,5,5,3,1,product,"P(1,1,1)"
3,5,6,3,1,product,"P(1,1,1)"
3,5,7,3,1,product,"P(1,1,1)"
3,5,8,3,1,product,"P(1,1,1)"
3,5,9,3,1,product,"P(1,1,1)"
3,5,10,3,1,product,"P(1,1,1)"
3,5,11,3,1,product,"P(1,1,1)"
3,5,12,3,1,product,"P(1,1,1)"
3,6,6,3,1,product,"P(1,1,1)"
3,6,7,3,1,product,"P(1,1,1)"
3,6,8,3,1,product,"P(1,1,1)"
3,6,9,3,1,product,"P(1,1,1)"
3,6,10,3,1,product,"P(1,1,1)"
3,6,11,3,1,product,"P(1,1,1)"
3,6,12,3,1,product,"P(1,1,1)"
3,7,7,3,1,product,"P(1,1,1)"
3,7,8,3,1,product,"P(1,1,1)"
3,7,9,3,1,product,"P(1,1,1)"
3,7,10,3,1,product,"P(1,1,1)"
3,7,11,3,1,product,"P(1,1,1)"
3,7,12,3,1,product,"P(1,1,1)"
3,8,8,3,1,product,"P(1,1,1)"
3,8,9,3,1,product,"P(1,1,1)"
3,8,10,3,1,product,"P(1,1,1)"
3,8,11,3,1,product,"P(1,1,1)"
3,8,12,3,1,product,"P(1,1,1)"
3,9,9,3,1,product,"P(1,1,1)"
3,9,10,3,1,product,"P(1,1,1)"
3,9,11,3,1,product,"P(1,1,1)"
3,9,12,3,1,product,"P(1,1,1)"
3,10,10,3,1,product,"P(1,1,1)"
3,10,11,3,1,product,"P(1,1,1)"
3,10,12,3,1,product,"P(1,1,1)"
3,11,11,3,1,product,"P(1,1,1)"
3,11,12,3,1,product,"P(1,1,1)"
3,12,12,3,1,product,"P(1,1,1)"
4,1,1,0,1,sum,"S(1,1,1,1)"
4,1,2,2,1,sum,"S(P(1,1),P(1,1))"
4,1,3,4,1,product,"P(S(1,1),S(1,1))"
4,1,4,6,1,product,"P(1,1,1,1)"
4,1,5,6,1,product,"P(1,1,1,1)"
4,1,6,6,1,product,"P(1,1,1,1)"
4,1,7,6,1,product,"P(1,1,1,1)"
4,1,8,6,1,product,"P(1,1,1,1)"
4,1,9,6,1,product,"P(1,1,1,1)"
4,1,10,6,1,product,"P(1,1,1,1)"
4,1,11,6,1,product,"P(1,1,1,1)"
4,1,12,6,1,product,"P(1,1,1,1)"
4,2,2,4,1,product,"P(1,S(1,P(1,1)))"
4,2,3,6,1,product,"P(1,1,1,1)"
4,2,4,6,1,product,"P(1,1,1,1)"
4,2,5,6,1,product,"P(1,1,1,1)"
4,2,6,6,1,product,"P(1,1,1,1)"
4,2,7,6,1,product,"P(1,1,1,1)"
4,2,8,6,1,product,"P(1,1,1,1)"
4,2,9,6,1,product,"P(1,1,1,1)"
4,2,10,6,1,product,"P(1,1,1,1)"
4,2,11,6,1,product,"P(1,1,1,1)"
4,2,12,6,1,product,"P(1,1,1,1)"
4,3,3,6,1,product,"P(1,1,1,1)"
4,3,4,6,1,product,"P(1,1,1,1)"
4,3,5,6,1,product,"P(1,1,1,1)"
4,3,6,6,1,product,"P(1,1,1,1)"
4,3,7,6,1,product,"P(1,1,1,1)"
4,3,8,6,1,product,"P(1,1,1,1)"
4,3,9,6,1,product,"P(1,1,1,1)"
4,3,10,6,1,product,"P(1,1,1,1)"
4,3,11,6,1,product,"P(1,1,1,1)"
4,3,12,6,1,product,"P(1,1,1,1)"
4,4,4,6,1,product,"P(1,1,1,1)"
4,4,5,6,1,product,"P(1,1,1,1)"
4,4,6,6,1,product,"P(1,1,1,1)"
4,4,7,6,1,product,"P(1,1,1,1)"
4,4,8,6,1,product,"P(1,1,1,1)"
4,4,9,6,1,product,"P(1,1,1,1)"
4,4,10,6,1,product,"P(1,1,1,1)"
4,4,11,6,1,product,"P(1,1,1,1)"
4,4,12,6,1,product,"P(1,1,1,1)"
4,5,5,6,1,product,"P(1,1,1,1)"
4,5,6,6,1,product,"P(1,1,1,1)"
4,5,7,6,1,product,"P(1,1,1,1)"
4,5,8,6,1,product,"P(1,1,1,1)"
4,5,9,6,1,product,"P(1,1,1,1)"
4,5,10,6,1,product,"P(1,1,1,1)"
4,5,11,6,1,product,"P(1,1,1,1)"
4,5,12,6,1,product,"P(1,1,1,1)"
4,6,6,6,1,product,"P(1,1,1,1)"
4,6,7,6,1,product,"P(1,1,1,1)"
4,6,8,6,1,product,"P(1,1,1,1)"
4,6,9,6,1,product,"P(1,1,1,1)"
4,6,10,6,1,product,"P(1,1,1,1)"
4,6,11,6,1,product,"P(1,1,1,1)"
4,6,12,6,1,product,"P(1,1,1,1)"
4,7,7,6,1,product,"P(1,1,1,1)"
4,7,8,6,1,product,"P(1,1,1,1)"
4,7,9,6,1,product,"P(1,1,1,1)"
4,7,10,6,1,product,"P(1,1,1,1)"
4,7,11,6,1,product,"P(1,1,1,1)"
4,7,12,6,1,product,"P(1,1,1,1)"
4,8,8,6,1,product,"P(1,1,1,1)"
4,8,9,6,1,product,"P(1,1,1,1)"
4,8,10,6,1,product,"P(1,1,1,1)"
4,8,11,6,1,product,"P(1,1,1,1)"
4,8,12,6,1,product,"P(1,1,1,1)"
4,9,9,6,1,product,"P(1,1,1,1)"
4,9,10,6,1,product,"P(1,1,1,1)"
4,9,11,6,1,product,"P(1,1,1,1)"
4,9,12,6,1,product,"P(1,1,1,1)"
4,10,10,6,1,product,"P(1,1,1,1)"
4,10,11,6,1,product,"P(1,1,1,1)"
4,10,12,6,1,product,"P(1,1,1,1)"
4,11,11,6,1,product,"P(1,1,1,1)"
4,11,12,6,1,product,"P(1,1,1,1)"
4,12,12,6,1,product,"P(1,1,1,1)"
5,1,1,0,1,sum,"S(1,1,1,1,1)"
5,1,2,2,1,sum,"S(1,P(1,1),P(1,1))"
5,1,3,4,2,sum,"S(P(1,1),P(1,1,1));S(1,P(S(1,1),S(1,1)))"
5,1,4,7,1,product,"P(S(1,1),S(1,P(1,1)))"
5,1,5,10,1,product,"P(1,1,1,1,1)"
5,1,6,10,1,product,"P(1,1,1,1,1)"
5,1,7,10,1,product,"P(1,1,1,1,1)"
5,1,8,10,1,product,"P(1,1,1,1,1)"
5,1,9,10,1,product,"P(1,1,1,1,1)"
5,1,10,10,1,product,"P(1,1,1,1,1)"
5,1,11,10,1,product,"P(1,1,1,1,1)"
5,1,12,10,1,product,"P(1,1,1,1,1)"
5,2,2,6,1,product,"P(1,S(P(1,1),P(1,1)))"
5,2,3,7,1,product,"P(1,S(1,P(1,1,1)))"
5,2,4,10,1,product,"P(1,1,1,1,1)"
5,2,5,10,1,product,"P(1,1,1,1,1)"
5,2,6,10,1,product,"P(1,1,1,1,1)"
5,2,7,10,1,product,"P(1,1,1,1,1)"
5,2,8,10,1,product,"P(1,1,1,1,1)"
5,2,9,10,1,product,"P(1,1,1,1,1)"
5,2,10,10,1,product,"P(1,1,1,1,1)"
5,2,11,10,1,product,"P(1,1,1,1,1)"
5,2,12,10,1,product,"P(1,1,1,1,1)"
5,3,3,10,1,product,"P(1,1,1,1,1)"
5,3,4,10,1,product,"P(1,1,1,1,1)"
5,3,5,10,1,product,"P(1,1,1,1,1)"
5,3,6,10,1,product,"P(1,1,1,1,1)"
5,3,7,10,1,product,"P(1,1,1,1,1)"
5,3,8,10,1,product,"P(1,1,1,1,1)"
5,3,9,10,1,product,"P(1,1,1,1,1)"
5,3,10,10,1,product,"P(1,1,1,1,1)"
5,3,11,10,1,product,"P(1,1,1,1,1)"
5,3,12,10,1,product,"P(1,1,1,1,1)"
5,4,4,10,1,product,"P(1,1,1,1,1)"
5,4,5,10,1,product,"P(1,1,1,1,1)"
5,4,6,10,1,product,"P(1,1,1,1,1)"
5,4,7,10,1,product,"P(1,1,1,1,1)"
5,4,8,10,1,product,"P(1,1,1,1,1)"
5,4,9,10,1,product,"P(1,1,1,1,1)"
5,4,10,10,1,product,"P(1,1,1,1,1)"
5,4,11,10,1,product,"P(1,1,1,1,1)"
5,4,12,10,1,product,"P(1,1,1,1,1)"
5,5,5,10,1,product,"P(1,1,1,1,1)"
5,5,6,10,1,product,"P(1,1,1,1,1)"
5,5,7,10,1,product,"P(1,1,1,1,1)"
5,5,8,10,1,product,"P(1,1,1,1,1)"
5,5,9,10,1,product,"P(1,1,1,1,1)"
5,5,10,10,1,product,"P(1,1,1,1,1)"
5,5,11,10,1,product,"P(1,1,1,1,1)"
5,5,12,10,1,product,"P(1,1,1,1,1)"
5,6,6,10,1,product,"P(1,1,1,1,1)"
5,6,7,10,1,product,"P(1,1,1,1,1)"
5,6,8,10,1,product,"P(1,1,1,1,1)"
5,6,9,10,1,product,"P(1,1,1,1,1)"
5,6,10,10,1,product,"P(1,1,1,1,1)"
5,6,11,10,1,product,"P(1,1,1,1,1)"
5,6,12,10,1,product,"P(1,1,1,1,1)"
5,7,7,10,1,product,"P(1,1,1,1,1)"
5,7,8,10,1,product,"P(1,1,1,1,1)"
5,7,9,10,1,product,"P(1,1,1,1,1)"
5,7,10,10,1,product,"P(1,1,1,1,1)"
5,7,11,10,1,product,"P(1,1,1,1,1)"
5,7,12,10,1,product,"P(1,1,1,1,1)"
5,8,8,10,1,product,"P(1,1,1,1,1)"
5,8,9,10,1,product,"P(1,1,1,1,1)"
5,8,10,10,1,product,"P(1,1,1,1,1)"
5,8,11,10,1,product,"P(1,1,1,1,1)"
5,8,12,10,1,product,"P(1,1,1,1,1)"
5,9,9,10,1,product,"P(1,1,1,1,1)"
5,9,10,10,1,product,"P(1,1,1,1,1)"
5,9,11,10,1,product,"P(1,1,1,1,1)"
5,9,12,10,1,product,"P(1,1,1,1,1)"
5,10,10,10,1,product,"P(1,1,1,1,1)"
5,10,11,10,1,product,"P(1,1,1,1,1)"
5,10,12,10,1,product,"P(1,1,1,1,1)"
5,11,11,10,1,product,"P(1,1,1,1,1)"
5,11,12,10,1,product,"P(1,1,1,1,1)"
5,12,12,10,1,product,"P(1,1,1,1,1)"
6,1,1,0,1,sum,"S(1,1,1,1,1,1)"
6,1,2,3,1,sum,"S(P(1,1),P(1,1),P(1,1))"
6,1,3,6,1,sum,"S(P(1,1,1),P(1,1,1))"
6,1,4,9,1,product,"P(S(1,1,1),S(1,1,1))"
6,1,5,12,1,product,"P(S(1,1),S(1,1),S(1,1))"
6,1,6,15,1,product,"P(1,1,1,1,1,1)"
6,1,7,15,1,product,"P(1,1,1,1,1,1)"
6,1,8,15,1,product,"P(1,1,1,1,1,1)"
6,1,9,15,1,product,"P(1,1,1,1,1,1)"
6,1,10,15,1,product,"P(1,1,1,1,1,1)"
6,1,11,15,1,product,"P(1,1,1,1,1,1)"
6,1,12,15,1,product,"P(1,1,1,1,1,1)"
6,2,2,7,1,product,"P(1,S(1,P(1,1),P(1,1)))"
6,2,3,9,1,product,"P(1,S(P(1,1),P(1,1,1)))"
6,2,4,11,2,product,"P(1,S(1,P(1,1,1,1)));P(S(1,P(1,1)),S(1,P(1,1)))"
6,2,5,15,1,product,"P(1,1,1,1,1,1)"
6,2,6,15,1,product,"P(1,1,1,1,1,1)"
6,2,7,15,1,product,"P(1,1,1,1,1,1)"
6,2,8,15,1,product,"P(1,1,1,1,1,1)"
6,2,9,15,1,product,"P(1,1,1,1,1,1)"
6,2,10,15,1,product,"P(1,1,1,1,1,1)"
6,2,11,15,1,product,"P(1,1,1,1,1,1)"
6,2,12,15,1,product,"P(1,1,1,1,1,1)"
6,3,3,12,2,product,"P(1,1,S(1,P(1,1,1)));P(S(1,1),S(1,1),S(1,1))"
6,3,4,15,1,product,"P(1,1,1,1,1,1)"
6,3,5,15,1,product,"P(1,1,1,1,1,1)"
6,3,6,15,1,product,"P(1,1,1,1,1,1)"
6,3,7,15,1,product,"P(1,1,1,1,1,1)"
6,3,8,15,1,product,"P(1,1,1,1,1,1)"
6,3,9,15,1,product,"P(1,1,1,1,1,1)"
6,3,10,15,1,product,"P(1,1,1,1,1,1)"
6,3,11,15,1,product,"P(1,1,1,1,1,1)"
6,3,12,15,1,product,"P(1,1,1,1,1,1)"
6,4,4,15,1,product,"P(1,1,1,1,1,1)"
6,4,5,15,1,product,"P(1,1,1,1,1,1)"
6,4,6,15,1,product,"P(1,1,1,1,1,1)"
6,4,7,15,1,product,"P(1,1,1,1,1,1)"
6,4,8,15,1,product,"P(1,1,1,1,1,1)"
6,4,9,15,1,product,"P(1,1,1,1,1,1)"
6,4,10,15,1,product,"P(1,1,1,1,1,1)"
6,4,11,15,1,product,"P(1,1,1,1,1,1)"
6,4,12,15,1,product,"P(1,1,1,1,1,1)"
6,5,5,15,1,product,"P(1,1,1,1,1,1)"
6,5,6,15,1,product,"P(1,1,1,1,1,1)"
6,5,7,15,1,product,"P(1,1,1,1,1,1)"
6,5,8,15,1,product,"P(1,1,1,1,1,1)"
6,5,9,15,1,product,"P(1,1,1,1,1,1)"
6,5,10,15,1,product,"P(1,1,1,1,1,1)"
6,5,11,15,1,product,"P(1,1,1,1,1,1)"
6,5,12,15,1,product,"P(1,1,1,1,1,1)"
6,6,6,15,1,product,"P(1,1,1,1,1,1)"
6,6,7,15,1,product,"P(1,1,1,1,1,1)"
6,6,8,15,1,product,"P(1,1,1,1,1,1)"
6,6,9,15,1,product,"P(1,1,1,1,1,1)"
6,6,10,15,1,product,"P(1,1,1,1,1,1)"
6,6,11,15,1,product,"P(1,1,1,1,1,1)"
6,6,12,15,1,product,"P(1,1,1,1,1,1)"
6,7,7,15,1,product,"P(1,1,1,1,1,1)"
6,7,8,15,1,product,"P(1,1,1,1,1,1)"
6,7,9,15,1,product,"P(1,1,1,1,1,1)"
6,7,10,15,1,product,"P(1,1,1,1,1,1)"
6,7,11,15,1,product,"P(1,1,1,1,1,1)"
6,7,12,15,1,product,"P(1,1,1,1,1,1)"
6,8,8,15,1,product,"P(1,1,1,1,1,1)"
6,8,9,15,1,product,"P(1,1,1,1,1,1)"
6,8,10,15,1,product,"P(1,1,1,1,1,1)"
6,8,11,15,1,product,"P(1,1,1,1,1,1)"
6,8,12,15,1,product,"P(1,1,1,1,1,1)"
6,9,9,15,1,product,"P(1,1,1,1,1,1)"
6,9,10,15,1,product,"P(1,1,1,1,1,1)"
6,9,11,15,1,product,"P(1,1,1,1,1,1)"
6,9,12,15,1,product,"P(1,1,1,1,1,1)"
6,10,10,15,1,product,"P(1,1,1,1,1,1)"
6,10,11,15,1,product,"P(1,1,1,1,1,1)"
6,10,12,15,1,product,"P(1,1,1,1,1,1)"
6,11,11,15,1,product,"P(1,1,1,1,1,1)"
6,11,12,15,1,product,"P(1,1,1,1,1,1)"
6,12,12,15,1,product,"P(1,1,1,1,1,1)"
7,1,1,0,1,sum,"S(1,1,1,1,1,1,1)"
7,1,2,3,1,sum,"S(1,P(1,1),P(1,1),P(1,1))"
7,1,3,7,1,sum,"S(P(1,1,1),P(S(1,1),S(1,1)))"
7,1,4,9,2,sum,"S(P(1,1,1),P(1,1,1,1));S(1,P(S(1,1,1),S(1,1,1)))"
7,1,5,14,1,product,"P(S(1,1,1),S(P(1,1),P(1,1)))"
7,1,6,17,1,product,"P(S(1,1),S(1,1),S(1,P(1,1)))"
7,1,7,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,2,9,1,product,"P(1,S(P(1,1),P(1,1),P(1,1)))"
7,2,3,12,1,product,"P(1,S(P(1,1,1),P(1,1,1)))"
7,2,4,13,1,product,"P(1,S(P(1,1),P(1,1,1,1)))"
7,2,5,17,1,product,"P(1,S(1,P(1,1)),S(1,P(1,1)))"
7,2,6,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,7,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,9,21,1,product,"P(1,1,1,1,1,1,1)"
